# timestamps [seconds],pts
24178.267919,0
24178.295740,1823
24178.323005,3610
24178.354971,5704
24178.390981,8064
24178.423027,10165
24178.454970,12258
24178.526714,16960
24178.554898,18807
24178.590905,21166
24178.622936,23266
24178.654912,25361
24178.690952,27723
24178.722934,29819
24178.755001,31920
24178.790979,34278
24178.823005,36377
24178.855060,38478
24178.887036,40573
24178.923219,42945
24178.954994,45027
24178.987127,47133
24179.022963,49481
24179.054915,51575
24179.087093,53684
24179.123089,56043
24179.154938,58130
24179.187144,60241
24179.223107,62598
24179.255116,64695
24179.286874,66777
24179.319000,68882
24179.354967,71239
24179.387082,73344
24179.418990,75435
24179.454916,77789
24179.487036,79894
24179.519137,81998
24179.555088,84354
24179.587038,86448
24179.619012,88543
24179.655203,90915
24179.687059,93003
24179.719029,95098
24179.754902,97449
24179.787072,99557
24179.818968,101647
24179.851121,103755
24179.887003,106106
24179.918992,108203
24179.950987,110299
24179.986889,112652
24180.018886,114749
24180.050857,116844
24180.086884,119205
24180.118889,121303
24180.150995,123407
24180.186948,125763
24180.218872,127855
24180.250934,129956
24180.282901,132051
24180.318982,134416
24180.351080,136519
24180.382943,138608
24180.418950,140967
24180.451034,143070
24180.483044,145168
24180.519080,147529
24180.550891,149614
24180.583243,151734
24180.619082,154083
24180.651085,156180
24180.683049,158275
24180.718891,160624
24180.751499,162761
24180.782949,164822
24180.815043,166925
24180.850970,169280
24180.882969,171377
24180.914934,173472
24180.950957,175832
24180.982928,177928
24181.015054,180033
24181.051961,182452
24181.082968,184484
24181.114950,186580
24181.150955,188939
24181.182920,191034
24181.214920,193131
24181.247259,195251
24181.283118,197601
24181.315353,199713
24181.347071,201792
24181.383007,204147
24181.415086,206249
24181.447033,208343
24181.483119,210708
24181.514976,212795
24181.546991,214893
24181.583316,217274
24181.614943,219347
24181.646930,221443
24181.678951,223541
24181.714948,225901
24181.747014,228002
24181.779014,230099
24181.815033,232460
24181.846923,234550
24181.879008,236652
24181.914982,239010
24181.947004,241108
24181.978938,243201
24182.015087,245570
24182.047095,247668
24182.079016,249760
24182.114824,252106
24182.147873,254272
24182.178999,256312
24182.211038,258412
24182.246978,260767
24182.279008,262866
24182.310869,264954
24182.347086,267328
24182.378959,269417
24182.411051,271520
24182.447006,273876
24182.478897,275966
24182.511011,278071
24182.546993,280429
24182.580901,282651
24182.610908,284617
24182.642948,286717
24182.679169,289091
24182.710893,291170
24182.742865,293265
24182.778926,295628
24182.810893,297723
24182.842918,299822
24182.879008,302187
24182.910995,304283
24182.943072,306386
24182.979055,308744
24183.011059,310841
24183.042970,312932
24183.078985,315293
24183.111119,317399
24183.142948,319485
24183.174976,321583
24183.211080,323950
24183.243223,326056
24183.274863,328130
24183.310912,330492
24183.342945,332591
24183.375080,334697
24183.411130,337060
24183.443162,339159
24183.475041,341248
24183.511173,343616
24183.543190,345714
24183.575132,347808
24183.606998,349896
24183.642870,352247
24183.674918,354347
24183.706919,356444
24183.742971,358807
24183.774915,360900
24183.806912,362997
24183.842971,365361
24183.874964,367457
24183.906936,369552
24183.942957,371913
24183.976017,374080
24184.007081,376115
24184.043190,378482
24184.075100,380573
24184.106947,382660
24184.139084,384766
24184.174957,387117
24184.207057,389221
24184.239122,391322
24184.274917,393668
24184.307028,395773
24184.339017,397869
24184.374899,400220
24184.406943,402320
24184.438879,404413
24184.475134,406789
24184.507012,408878
24184.538933,410970
24184.570914,413066
24184.607260,415448
24184.638949,417525
24184.670876,419617
24184.707101,421991
24184.738901,424075
24184.770989,426178
24184.806950,428535
24184.838908,430629
24184.871140,432742
24184.907060,435096
24184.939053,437192
24184.971047,439289
24185.006812,441633
24185.039044,443745
24185.070914,445834
24185.103006,447937
24185.138941,450292
24185.171171,452404
24185.203463,454520
24185.239200,456862
24185.271040,458949
24185.303007,461044
24185.338987,463402
24185.371031,465502
24185.403070,467602
24185.439115,469964
24185.470938,472049
24185.503003,474151
24185.534964,476245
24185.570928,478602
24185.603086,480710
24185.634918,482796
24185.670917,485155
24185.703055,487261
24185.735026,489356
24185.770969,491712
24185.803065,493815
24185.834933,495904
24185.870956,498265
24185.902945,500361
24185.935058,502465
24185.967177,504570
24186.002945,506914
24186.035067,509020
24186.066994,511112
24186.103174,513483
24186.134880,515561
24186.167013,517667
24186.203079,520030
24186.234904,522116
24186.267002,524219
24186.303076,526584
24186.334942,528672
24186.366898,530766
24186.402971,533130
24186.435067,535234
24186.467192,537339
24186.499175,539435
24186.534921,541777
24186.567050,543883
24186.599120,545985
24186.634986,548335
24186.667039,550436
24186.699007,552531
24186.735079,554895
24186.766887,556979
24186.798951,559081
24186.834894,561436
24186.867089,563546
24186.899061,565641
24186.930984,567733
24186.966879,570086
24186.999068,572195
24187.030960,574285
24187.067126,576656
24187.099135,578753
24187.130886,580834
24187.167132,583209
24187.198955,585295
24187.231068,587399
24187.266973,589753
24187.298957,591849
24187.331068,593953
24187.366978,596306
24187.399185,598417
24187.431170,600513
24187.462976,602598
24187.499047,604961
24187.530968,607053
24187.562957,609150
24187.599134,611521
24187.630978,613608
24187.662885,615699
24187.699136,618074
24187.731043,620165
24187.762926,622255
24187.799053,624622
24187.830959,626713
24187.862927,628808
24187.895003,630910
24187.930873,633261
24187.963002,635367
24187.995055,637467
24188.031088,639829
24188.063231,641935
24188.095047,644020
24188.130916,646371
24188.163033,648476
24188.195167,650582
24188.231091,652936
24188.262970,655025
24188.294928,657120
24188.331069,659488
24188.362953,661578
24188.394984,663677
24188.426981,665774
24188.463120,668142
24188.494925,670226
24188.526920,672323
24188.562996,674687
24188.595086,676790
24188.627013,678883
24188.663037,681244
24188.695040,683341
24188.726958,685433
24188.763050,687798
24188.795060,689896
24188.827083,691994
24188.858920,694081
24188.895077,696450
24188.927058,698546
24188.958989,700639
24188.994958,702996
24189.026997,705096
24189.059024,707195
24189.094884,709545
24189.126921,711644
24189.158914,713741
24189.195063,716110
24189.226978,718201
24189.259144,720309
24189.295064,722663
24189.327116,724764
24189.358925,726849
24189.390926,728946
24189.426904,731304
24189.459034,733409
24189.491058,735508
24189.527196,737876
24189.559065,739965
24189.591169,742069
24189.627061,744421
24189.659033,746516
24189.691071,748616
24189.727002,750971
24189.759169,753079
24189.791178,755176
24189.823124,757270
24189.859113,759628
24189.891319,761739
24189.923206,763829
24189.959034,766177
24189.991050,768275
24190.022987,770368
24190.059083,772733
24190.090948,774822
24190.122929,776918
24190.159013,779282
24190.191022,781380
24190.223051,783479
24190.259795,785887
24190.292008,787998
24190.322962,790027
24190.354968,792124
24190.390938,794482
24190.422970,796581
24190.455074,798685
24190.490938,801035
24190.523088,803142
24190.555110,805241
24190.590967,807590
24190.623080,809695
24190.655109,811794
24190.691079,814151
24190.723101,816250
24190.754993,818340
24190.786963,820435
24190.823128,822805
24190.854935,824890
24190.887060,826995
24190.922959,829348
24190.954965,831445
24190.987014,833545
24191.022934,835899
24191.054962,837998
24191.087166,840109
24191.122944,842454
24191.155010,844555
24191.187006,846652
24191.219030,848751
24191.255080,851113
24191.287018,853206
24191.318976,855301
24191.355196,857674
24191.387125,859767
24191.419098,861862
24191.455135,864224
24191.487035,866314
24191.518926,868404
24191.554989,870768
24191.586940,872862
24191.618920,874957
24191.654958,877319
24191.687080,879424
24191.719043,881519
24191.750959,883611
24191.786989,885972
24191.819025,888071
24191.851024,890168
24191.887004,892526
24191.919173,894634
24191.951115,896728
24191.987210,899093
24192.019228,901192
24192.051003,903274
24192.087927,905694
24192.119215,907744
24192.151047,909830
24192.182903,911918
24192.218911,914278
24192.250876,916373
24192.282957,918475
24192.318881,920829
24192.350885,922927
24192.382899,925025
24192.419180,927402
24192.450935,929483
24192.483005,931585
24192.518916,933939
24192.550911,936035
24192.583100,938145
24192.618917,940492
24192.651122,942603
24192.683018,944693
24192.714994,946789
24192.751043,949151
24192.782968,951243
24192.815131,953351
24192.850986,955701
24192.882924,957794
24192.914962,959893
24192.951049,962258
24192.983097,964359
24193.015166,966460
24193.051048,968812
24193.082931,970901
24193.114925,972998
24193.146965,975098
24193.183075,977464
24193.215090,979562
24193.246892,981646
24193.283058,984017
24193.315125,986118
24193.347040,988210
24193.383077,990571
24193.414984,992662
24193.446991,994760
24193.482977,997118
24193.515001,999217
24193.547002,1001314
24193.582978,1003672
24193.615157,1005781
24193.647109,1007875
24193.679292,1009984
24193.715127,1012332
24193.747003,1014421
24193.778927,1016513
24193.815042,1018880
24193.847141,1020984
24193.879036,1023074
24193.915976,1025495
24193.946991,1027527
24193.978996,1029625
24194.014906,1031978
24194.046921,1034076
24194.078928,1036174
24194.110958,1038273
24194.146926,1040630
24194.178948,1042729
24194.211086,1044835
24194.247046,1047192
24194.279143,1049295
24194.310884,1051375
24194.346898,1053735
24194.379070,1055844
24194.411063,1057940
24194.447009,1060296
24194.479102,1062399
24194.511162,1064500
24194.546967,1066847
24194.579077,1068951
24194.611042,1071046
24194.642946,1073137
24194.679010,1075500
24194.710940,1077593
24194.742918,1079689
24194.779204,1082067
24194.811057,1084154
24194.842989,1086247
24194.879055,1088610
24194.910913,1090698
24194.943059,1092805
24194.978880,1095152
24195.010985,1097256
24195.043062,1099358
24195.074955,1101449
24195.110925,1103806
24195.143098,1105914
24195.175064,1108009
24195.211066,1110369
24195.243776,1112512
24195.276069,1114629
24195.311023,1116919
24195.342877,1119007
24195.374856,1121103
24195.410967,1123469
24195.442982,1125567
24195.474926,1127661
24195.506931,1129758
24195.543136,1132131
24195.575056,1134223
24195.606932,1136312
24195.643018,1138677
24195.675019,1140774
24195.707105,1142877
24195.742918,1145224
24195.774933,1147322
24195.807190,1149436
24195.843046,1151785
24195.874958,1153877
24195.907101,1155983
24195.942919,1158331
24195.975022,1160434
24196.007118,1162538
24196.039091,1164633
24196.075062,1166991
24196.107042,1169086
24196.138890,1171174
24196.175075,1173545
24196.207078,1175642
24196.239035,1177737
24196.275023,1180095
24196.306926,1182186
24196.338932,1184283
24196.374934,1186643
24196.406935,1188740
24196.438936,1190837
24196.471177,1192950
24196.506985,1195297
24196.538993,1197394
24196.571020,1199493
24196.606916,1201846
24196.639075,1203953
24196.670966,1206043
24196.707015,1208406
24196.738961,1210499
24196.770950,1212596
24196.807045,1214961
24196.839081,1217061
24196.870897,1219146
24196.906960,1221509
24196.939064,1223613
24196.971082,1225711
24197.003053,1227807
24197.038915,1230157
24197.071017,1232261
24197.103795,1234409
24197.138934,1236711
24197.170952,1238810
24197.203132,1240919
24197.238927,1243265
24197.271050,1245370
24197.303152,1247473
24197.339074,1249828
24197.370951,1251917
24197.403012,1254018
